,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Resource Company,Resource Country,Resource SubType,Resource Region,Offtake Owner,Resource ID
0,0.0,0.0,0.0,0.27974100031552673,0.7459760008414048,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,Highland Group,Netherlands,Spodumene,North America,Spot Market Spod,RES-1094
0,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,Horizon Energy,Spain,Spodumene,Europe,Spot Market Spod,RES-1062
0,0.0,0.0,0.0,0.0,0.4087503442110401,1.1847985025863628,1.1847985025863628,1.1847985025863628,1.1847985025863628,2.1193877536405097,3.6770365053974183,Crescent Energy,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1101
0,0.0,0.0,0.0,0.17280364519490948,0.46080972051975866,0.5279151360704485,0.5279151360704485,0.5279151360704485,0.5279151360704485,0.5279151360704485,0.5279151360704485,Highland Metals,Czech Republic,Spodumene,North America,Spot Market Spod,RES-1089
0,0.0,0.0,0.0,0.05578289856291891,0.14875439616778377,0.17041675510971727,0.17041675510971727,0.17041675510971727,0.17041675510971727,0.17041675510971727,0.17041675510971727,Highland Metals,Czech Republic,Zinnwaldite,North America,Spot Market Spod,RES-1185
0,0.0,0.0,0.0,0.10681020012047386,0.28482720032126363,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,Vantage Holdings,Czech Republic,Spodumene,North America,Spot Market Spod,RES-1242
0,0.0,0.0,0.8571428571428571,2.2857142857142856,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,Granite Corp,Germany,Brine,Germany,Spot Market Lep,RES-1129
0,0.0,0.0,0.0,0.0,1.379419826555883,3.107668203505213,3.107668203505213,3.107668203505213,8.82964320995917,18.366268220715764,20.58830184822205,Amber Mining,China,Spodumene,North America,Spot Market Spod,RES-1238
0,0.0,0.0,0.0,0.04132537504661191,0.11020100012429844,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,Vantage Holdings,Czech Republic,Zinnwaldite,North America,Spot Market Spod,RES-1137
0,0.0,0.0,0.0,0.0,0.0,0.3347217627525408,0.3347217627525408,0.3347217627525408,0.3347217627525408,0.3347217627525408,0.3347217627525408,Cascade Corp,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1213
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood Group,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1039
0,0.0,0.0,0.0,0.06574973132416076,0.1753326168644287,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,Highland Materials,Serbia,Zinnwaldite,Middle East & Africa,Spot Market Spod,RES-1196
0,0.0,1.5735431267748383,4.196115004732901,6.328848735263465,8.86497287354069,9.455889797759282,9.455889797759282,9.455889797759282,9.455889797759282,9.455889797759282,9.455889797759282,Highland Corp,Spain,Spodumene,Europe,Spot Market Spod,RES-1159
0,0.0,0.0,0.0,0.0,1.38584327331313,2.3190973968657693,2.3190973968657693,2.3190973968657693,2.3190973968657693,2.3190973968657693,2.3190973968657693,Falcon Holdings,Bolivia,Spodumene,Bolivia,Spot Market Spod,RES-1165
0,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,3.273214285714286,Northstar Group,Germany,Brine,Germany,Spot Market Lep,RES-1002
0,0.0,0.9536625010756596,2.543100002868426,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,Meridian Energy,Germany,Spodumene,Germany,Spot Market Spod,RES-1018
0,0.0,0.0,0.0,0.7119355476780098,1.898494793808026,2.1749630981563195,2.1749630981563195,2.1749630981563195,2.1749630981563195,2.1749630981563195,2.1749630981563195,Cascade Metals,Serbia,Spodumene,Middle East & Africa,Spot Market Spod,RES-1189
0,0.0,0.0,0.0,0.0,0.9536625010756593,2.543100002868425,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,2.91343894078614,Highland Corp,Australia,Spodumene,North America,Spot Market Spod,RES-1171
0,0.0,0.25950110316769764,0.6920029417805269,0.7927758701773163,0.7927758701773163,0.7927758701773163,0.7927758701773163,0.7927758701773163,0.7927758701773163,0.7927758701773163,0.7927758701773163,Vantage Group,Serbia,Spodumene,Middle East & Africa,Spot Market Spod,RES-1076
0,0.0,0.0,0.0,1.6085107518142787,5.243024505913735,7.457100349661046,7.82743928757876,7.82743928757876,7.82743928757876,7.82743928757876,7.82743928757876,Ironclad Resources,Netherlands,Spodumene,North America,Spot Market Spod,RES-1165
0,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,1.571142857142857,Granite Corp,Germany,Brine,Germany,Spot Market Lep,RES-1227
0,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,Summit Group,Germany,Brine,Germany,Spot Market Lep,RES-1033
