,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Conversion Company,Conversion Country,Product,Conversion Region,Resource ID,Conversion Resource SubType,Resource Region,Resource Country,Resource Company,Conversion ID
0,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,0.06546428571428571,Northstar Industries,Germany,Lithium Carbonate,Germany,RES-1094,Spodumene,Germany,Germany,Northstar Industries,CNV-1036
1,0.0,0.02476603943551971,0.029521112017942167,0.038854745093444165,0.05528173212466597,0.0691522850330925,0.07170075659398135,0.0688903779983981,0.07088784620348448,0.08171920016569952,0.08643193372910254,Atlas Corp,Argentina,Lithium Hydroxide,North America,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1228
2,0.06682173896817736,0.19972612447999763,0.3007244008618896,0.4700170777432759,0.6687306305403141,0.8365195770132158,0.867347862023968,0.8333513467548156,0.857514268590538,0.9885387116818489,1.0455475854326919,Blue Horizon Minerals,Germany,Lithium Carbonate,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1160
3,0.08820469543799413,0.2636384843135969,0.42452261255003415,0.6893583806901379,0.9808049247924605,1.226895379619383,1.2721101976351528,1.2222486419070628,1.2576875939327892,1.4498567771333783,1.533469791967948,Blue Horizon Minerals,Germany,Lithium Hydroxide,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1193
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851437984494978,0.327881610071881,0.32788161007188105,0.327881610071881,Granite Energy,South Korea,Lithium Hydroxide,South America,RES-1211,Spodumene,Middle East & Africa,Serbia,Granite Energy,CNV-1262
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97105798803211,5.898785214855245,6.800093888076539,7.192254244952882,Granite Energy,South Korea,Lithium Hydroxide,South America,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1262
6,0.0,0.0,0.0,0.1287711401952441,0.34338970718731776,0.3933958332964709,0.3933958332964708,0.10825203484697317,0.06551422322458987,0.06551422322458988,0.06551422322458987,Granite Energy,Norway,Lithium Hydroxide,South America,RES-1211,Spodumene,Middle East & Africa,Serbia,Granite Energy,CNV-1257
7,0.2678883515234231,0.42142212265279505,0.5023350512730481,0.6314259563704068,0.8278778232506382,1.0150492427196094,1.0524568876981486,1.1279329047368114,1.1786398488015692,1.3587308810455967,1.437088679626002,Granite Energy,Norway,Lithium Hydroxide,South America,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1257
8,0.0,0.0,0.0,0.0,0.6514285714285714,1.737142857142857,1.9901142857142857,1.9901142857142857,1.9901142857142857,1.9901142857142857,1.9901142857142857,Pioneer Materials,Vietnam,Lithium Carbonate,Europe,RES-1089,Petalite,Europe,Vietnam,Pioneer Materials,CNV-1249
9,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,Northstar Minerals,Germany,Lithium Carbonate,Germany,RES-1185,Petalite,Germany,Germany,Northstar Minerals,CNV-1120
10,0.0,0.0,0.0,0.3017142857142857,0.8045714285714286,0.9217371428571429,0.9217371428571429,0.9217371428571429,0.9217371428571429,0.9217371428571429,0.9217371428571429,Cobalt Bay Mining,South Korea,Lithium Hydroxide,South America,RES-1242,Lepidolite,South America,South Korea,Cobalt Bay Mining,CNV-1102
11,0.0,0.0,0.0,0.0,0.21857142857142858,0.582857142857143,0.6677357142857143,0.6677357142857143,0.6677357142857143,0.6677357142857143,0.6677357142857143,Atlas Energy,Indonesia,Lithium Carbonate,Europe,RES-1129,Petalite,Europe,Indonesia,Atlas Energy,CNV-1245
12,0.20313808646325895,0.31956179916799615,0.38091757442505997,0.5013515495928276,0.713312672576335,0.8922875488140968,0.9251710528255658,0.8889081032051368,0.914681886496574,1.0544412924606388,1.1152507577948714,Atlas Holdings,Germany,Lithium Carbonate,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1110
13,0.0444364564138379,0.06990414356799918,0.08332571940548186,0.10967065147343105,0.1560371471260733,0.1951879013030837,0.20238116780559254,0.1944486475761237,0.2000866626711256,0.23065903272576477,0.24396110326762813,Atlas Holdings,Germany,Lithium Hydroxide,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1091
14,0.0,0.0,0.0,0.0,0.11732116325268668,0.2788398590044053,0.28911595400798934,0.2777837822516052,0.28583808953017936,0.3295129038939496,0.3485158618108972,Vantage Materials,Zambia,Lithium Carbonate,Asia Pacific,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1256
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cascade Mining,Japan,Lithium Carbonate,Middle East & Africa,RES-1054,Petalite,Middle East & Africa,Japan,Cascade Mining,CNV-1176
16,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,6.546428571428572,Granite Industries,Germany,Lithium Carbonate,Germany,RES-1137,Petalite,Germany,Germany,Granite Industries,CNV-1162
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Golden Peak Industries,Indonesia,Lithium Carbonate,Europe,RES-1179,Petalite,Europe,Indonesia,Golden Peak Industries,CNV-1068
18,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,1.0474285714285716,Sierra Holdings,Germany,Lithium Carbonate,Germany,RES-1265,Brine,Germany,Germany,Sierra Holdings,CNV-1082
19,0.0,1.9285714285714286,7.071428571428571,11.034642857142858,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,Sierra Holdings,Germany,Lithium Carbonate,Germany,RES-1196,Brine,Germany,Germany,Sierra Holdings,CNV-1202
20,0.2618571428571429,0.2618571428571429,0.519,0.9475714285714288,1.0474285714285714,1.0474285714285714,1.0474285714285714,1.0474285714285714,1.0474285714285714,1.0474285714285714,1.0474285714285714,Frontier Industries,Germany,Lithium Carbonate,Germany,RES-1159,Petalite,Germany,Germany,Frontier Industries,CNV-1161
21,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.5999999999999999,1.833,1.833,1.833,Summit Holdings,Indonesia,Lithium Carbonate,Europe,RES-1181,Petalite,Europe,Indonesia,Summit Holdings,CNV-1092
22,0.0,0.0,0.0,0.0,0.8571428571428571,2.2857142857142856,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,Summit Holdings,Indonesia,Lithium Carbonate,Europe,RES-1002,Petalite,Europe,Indonesia,Summit Holdings,CNV-1078
23,2.6185714285714283,3.0471428571428567,4.1899999999999995,5.070714285714286,6.522857142857142,8.665714285714285,9.165000000000001,9.165000000000001,10.450714285714286,12.593571428571428,13.092857142857143,Ironclad Holdings,Indonesia,Lithium Carbonate,Europe,RES-1018,Petalite,Europe,Indonesia,Ironclad Holdings,CNV-1206
24,0.3516828121895175,0.5532413648095934,0.6594635507233855,0.8679648702325828,1.23492256439778,1.5447728188844052,1.6017023852042604,1.5389221536738928,1.5835430159971935,1.825501487572481,1.9307778744323707,Summit Industries,Germany,Lithium Carbonate,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1100
25,0.2831237080081675,0.4453892575903947,0.5309038693549276,0.6987587222450035,0.9941795374032668,1.2436257711596475,1.2894571548756322,1.238915668842159,1.2748378793045998,1.4696275513670154,1.5543807436766015,Summit Industries,Germany,Lithium Hydroxide,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1229
26,1.5732570280245157,1.5732570280245157,1.8021360282826742,2.183601028712938,2.2724823738131894,2.2724823738131894,2.2724823738131894,2.2724823738131894,2.2724823738131894,2.2724823738131894,2.2724823738131894,Highland Minerals,South Korea,Lithium Hydroxide,South America,RES-1189,Spodumene,Europe,Spain,Highland Minerals,CNV-1177
27,0.0,0.0,0.10287400339768883,0.04732471007421115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Highland Minerals,South Korea,Lithium Hydroxide,South America,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1177
28,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,Horizon Materials,Germany,Lithium Carbonate,Germany,RES-1117,Petalite,Germany,Germany,Horizon Materials,CNV-1136
29,0.0,0.0,4.285714285714286,11.428571428571429,13.092857142857143,13.092857142857143,13.092857142857143,13.092857142857143,13.092857142857143,13.092857142857143,13.092857142857143,Horizon Materials,Germany,Lithium Carbonate,Germany,RES-1076,Petalite,Germany,Germany,Horizon Materials,CNV-1083
30,0.0,0.0,4.192620131770044,5.156502827131708,6.118221775650894,6.118221775650894,6.118221775650894,6.118221775650894,6.118221775650894,6.118221775650894,6.118221775650894,Summit Materials,United States,Lithium Hydroxide,Oceania,RES-1165,Spodumene,Bolivia,Bolivia,Falcon Holdings,CNV-1154
31,0.2399568646347246,0.576157309618351,0.16443758289784607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summit Materials,United States,Lithium Hydroxide,Oceania,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1154
32,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.1142857142857143,0.13092857142857142,0.13092857142857142,0.13092857142857142,Falcon Energy,Japan,Lithium Hydroxide,Middle East & Africa,RES-1227,Petalite,Middle East & Africa,Japan,Falcon Energy,CNV-1056
33,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,0.34041428571428567,Cobalt Bay Materials,Germany,Lithium Carbonate,Germany,RES-1033,Spodumene,Germany,Germany,Cobalt Bay Materials,CNV-1216
34,0.0,0.0,0.0,1.1813855467870593,2.9134389407861394,2.9134389407861394,2.9134389407861394,2.9134389407861394,2.9134389407861394,2.9134389407861394,2.9134389407861394,Amber Metals,Germany,Lithium Hydroxide,Germany,RES-1101,Spodumene,Bolivia,Bolivia,Crescent Energy,CNV-1132
35,0.0,0.0,0.6105908309828181,0.6995081207446908,0.6995081207446907,0.6995081207446907,0.6995081207446907,0.6995081207446907,0.6995081207446907,0.6995081207446907,0.6995081207446907,Amber Metals,Germany,Lithium Hydroxide,Germany,RES-1250,Spodumene,Middle East & Africa,Serbia,Cascade Materials,CNV-1132
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amber Metals,Germany,Lithium Hydroxide,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1132
37,0.4163741628383239,0.32100535106210465,0.35019296254256516,0.3992221786407759,0.41119536270587115,0.41134417086026714,0.41134417086026714,0.41134417086026714,0.41134417086026714,0.41134417086026714,0.41134417086026714,Frontier Group,Germany,Lithium Carbonate,Germany,Spot Market Lep,Brine,Spot Market Lep,Spot Market Lep,Spot Market Lep,CNV-1164
38,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,Amber Resources,Germany,Lithium Carbonate,Germany,RES-1194,Petalite,Germany,Germany,Amber Resources,CNV-1095
39,0.07617678242372208,0.11983567468799854,0.14284409040939752,0.1880068310973104,0.26749225221612555,0.33460783080528617,0.34693914480958704,0.3333405387019261,0.3430057074362152,0.3954154846727395,0.41821903417307654,Amber Corp,Germany,Lithium Carbonate,Germany,Spot Market Spod,Spodumene,Spot Market Spod,Spot Market Spod,Spot Market Spod,CNV-1104
